epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.001772,0.2506,1.916001,0.333333,0.001,61.095
2,1.692459,0.36022,1.72066,0.394608,0.001,60.2467
3,1.520626,0.438056,1.552796,0.468137,0.001,60.4812
4,1.40722,0.481848,1.55465,0.485294,0.001,60.0215
5,1.315324,0.516881,1.290085,0.531863,0.001,60.4905
6,1.234337,0.550643,1.299173,0.57598,0.001,62.4231
7,1.163253,0.569713,1.271917,0.561275,0.001,59.8473
8,1.121813,0.597401,1.277422,0.591912,0.001,59.619
9,1.060798,0.613363,1.17819,0.573529,0.001,59.6949
10,1.041596,0.629185,1.158408,0.64951,0.001,62.62
11,0.998703,0.648114,1.146475,0.626225,0.001,60.4619
12,0.958915,0.661393,1.079322,0.625,0.001,60.1596
13,0.937887,0.675237,1.033116,0.67402,0.001,59.5424
14,0.897008,0.684984,1.066799,0.714461,0.001,60.4989
15,0.872264,0.690634,1.059912,0.648284,0.001,60.66
16,0.846003,0.698545,0.990021,0.70098,0.001,60.6636
17,0.819009,0.71253,1.018473,0.676471,0.001,62.1826
18,0.813719,0.709563,1.0301,0.645833,0.001,59.6071
19,0.770396,0.732307,1.026284,0.697304,0.0005,60.5738
20,0.719072,0.753355,0.998986,0.708333,0.0005,59.7601
21,0.695549,0.764656,0.951638,0.707108,0.0005,59.3036
22,0.703997,0.75731,0.952424,0.737745,0.0005,59.7196
23,0.684557,0.764797,1.020854,0.705882,0.0005,62.8595
24,0.666246,0.768329,0.929857,0.740196,0.0005,59.4805
25,0.660727,0.773979,0.962331,0.737745,0.0005,59.4194
